pmcid,title,abstract,publication_date,keywords,journal,doi,author
27841319,"LbCML38 and LbRH52, two reference genes derived from RNA-Seq data suitable for assessing gene expression in Lycium barbarum L.","For quantitative real-time PCR (qRT-PCR) analysis, the key prerequisite that determines result accuracy is the selection of appropriate reference gene(s). Goji (Lycium barbarum L.) is a multi-branched shrub belonging to the Solanaceae family. To date, no systematic screening or evaluation of reference gene(s) in Goji has been performed. In this work, we identified 18 candidate reference genes from the transcriptomic sequencing data of 14 samples of Goji at different developmental stages and under drought stress condition. The expression stability of these candidate genes was rigorously analyzed using qRT-PCR and four different statistical algorithms: geNorm, BestKeeper, NormFinder and RefFinder. Two novel reference genes LbCML38 and LbRH52 showed the most stable expression, whereas the traditionally used reference genes such as LbGAPDH, LbHSP90 and LbTUB showed unstable expression in the tested samples. Expression of a target gene LbMYB1 was also tested and compared using optimal reference genes LbCML38 and LbRH52, mediocre reference gene LbActin7, and poor reference gene LbHSP90 as normalization standards, respectively. As expected, calculation of the target gene expression by normalization against LbCML38, LbActin7 or LbHSP90 showed significant differences. Our findings suggest that LbCML38 and LbRH52 can be used as reference genes for gene expression analysis in Goji.",2018-05-30,"Algorithms, Fruit, Gene Expression Regulation, Plant, Genes, Plant, Lycium, Plant Proteins, RNA, Plant, Real-Time Polymerase Chain Reaction, Reference Standards, Sequence Analysis, RNA",Sci Rep,,Gong
29193675,Gene expression in response to glyphosate treatment in fleabane (Conyza bonariensis) - glyphosate death response and candidate resistance genes.,"This study takes a whole-transcriptome approach to assess gene expression changes in response to glyphosate treatment in glyphosate-resistant fleabane. We assessed gene expression changes in both susceptible and resistant lines so that the glyphosate death response could be quantified, and constitutively expressed candidate resistance genes identified. There are three copies of the glyphosate target site (5-enolpyruvylshikimate-3-phosphate; EPSPS) gene in Conyza and because Conyza bonariensis is allohexaploid, there is a baseline nine copies of the gene in any individual.",2018-10-19,"3-Phosphoshikimate 1-Carboxyvinyltransferase, Conyza, Gene Expression Regulation, Plant, Genes, Plant, Glycine, Herbicide Resistance, Herbicides, Mutation, Plant Proteins, Queensland, Sequence Analysis, DNA",Pest Manag Sci,10.1002/ps.4804,Hereward
32187192,Identifying and validating housekeeping hybrid Prunus spp. genes for root gene-expression studies.,"Prunus rootstock belonging to subgenera Amygdalus (peach), Prunus (plum) and Cerasus (cherry) are either from the same species as the scion or another one. The number of inter-species (including inter-subgenera) hybrids has increased as a result of broadening the genetic basis for stress (biotic and abiotic) resistance/tolerance. Identifying genes associated with important traits and responses requires expression analysis. Relative quantification is the simplest and most popular alternative, which requires reference genes (housekeeping) to normalize RT-qPCR data. However, there is a scarcity of validated housekeeping genes for hybrid Prunus rootstock species. This research aims to increase the number of housekeeping genes suitable for Prunus rootstock expression analysis. Twenty-one candidate housekeeping genes were pre-selected from previous RNAseq data that compared the response of root transcriptomes of two rootstocks subgenera to hypoxia treatment, 'Mariana 2624' (P. cerasifera Ehrh.× P. munsoniana W. Wight & Hedrick), and 'Mazzard F12/1' (P. avium L.). Representing groups of low, intermediate or high levels of expression, the genes were assayed by RT-qPCR at 72 hours of hypoxia treatment and analyzed with NormFinder software. A sub-set of seven housekeeping genes that presented the highest level of stability were selected, two with low levels of expression (Unknown 3, Unknown 7) and five with medium levels (GTB 1, TUA 3, ATPase P, PRT 6, RP II). The stability of these genes was evaluated under different stress conditions, cold and heat with the hybrid 'Mariana 2624' and N nutrition with the hybrids 'Colt' (P. avium × P. pseudocerasus Lindl.) and 'Garnem' [P. dulcis Mill.× (P. persica L.× P. davidiana Carr.)]. The algorithms of geNorm and BestKeeper software also were used to analyze the performance of these genes as housekeepers. Stability rankings varied according to treatments, genotypes and the software for evaluation, but the gene GBT 1 often had the highest ranking. However, most of the genes are suitable depending on the stressor and/or genotype to be evaluated. No optimal number of reference genes could be determined with geNorm software when all conditions and genotypes were considered. These results strongly suggest that relative RT-qPCR should be analyzed separately with their respective best housekeeper according to the treatment and/or genotypes in Prunus spp. rootstocks.",2020-06-22,"Gene Expression Profiling, Genes, Essential, Plant Roots, Prunus",PLoS One,,Bastias
25654098,Identification of reference genes in human myelomonocytic cells for gene expression studies in altered gravity.,"Gene expression studies are indispensable for investigation and elucidation of molecular mechanisms. For the process of normalization, reference genes (""housekeeping genes"") are essential to verify gene expression analysis. Thus, it is assumed that these reference genes demonstrate similar expression levels over all experimental conditions. However, common recommendations about reference genes were established during 1 g conditions and therefore their applicability in studies with altered gravity has not been demonstrated yet. The microarray technology is frequently used to generate expression profiles under defined conditions and to determine the relative difference in expression levels between two or more different states. In our study, we searched for potential reference genes with stable expression during different gravitational conditions (microgravity, normogravity, and hypergravity) which are additionally not altered in different hardware systems. We were able to identify eight genes (ALB, B4GALT6, GAPDH, HMBS, YWHAZ, ABCA5, ABCA9, and ABCC1) which demonstrated no altered gene expression levels in all tested conditions and therefore represent good candidates for the standardization of gene expression studies in altered gravity. ",2015-10-12,"ATP-Binding Cassette Transporters, Gene Expression Regulation, Genes, Gravitation, Humans, Microarray Analysis, Monocytes, Reference Standards, Space Flight, U937 Cells",Biomed Res Int,,Thiel
30505479,Gene set enrichment analysis and meta-analysis to identify six key genes regulating and controlling the prognosis of esophageal squamous cell carcinoma.,"Esophageal squamous cell carcinoma (ESCC) is a common malignancy with high mortality. Because of the lack of clarity in the relevant genes and mechanisms involved, and the current difficulty for oncotherapy in providing therapeutic solutions, there is an urgent need to study this matter. While gene probe studies have been used to select the most virulent genes and pathways, paucity of case controls during gene screening and lack of conclusive results to expound the etiology and pathogenesis of the disease, have reduced study reliability.",,,J Thorac Dis,,He
31562292,Weighted Gene Co-Expression Network Analysis Identifies Hub Genes Associated with Occurrence and Prognosis of Oral Squamous Cell Carcinoma.,"BACKGROUND The aim of this study was to identify biomarkers closely related to the pathogenesis and prognosis of oral squamous cell carcinoma (OSCC) by using weighted gene co-expression network analysis (WGCNA) based on integrative transcriptome datasets. MATERIAL AND METHODS Gene expression profiles of OSCC were downloaded from the Gene Expression Omnibus (GEO) database. Differentially expressed genes (DEGs) were obtained and we then performed with Gene ontology (GO) and pathway enrichment analysis as well as protein-protein interactions (PPI) network analysis. WGCNA was used to construct the co-expression network. Multipart results were intersected to acquire the candidate genes, and survival analysis was used to identify the hub genes. RESULTS A total of 568 DEGs, including 272 upregulated genes and 296 downregulated genes, were identified. GO and pathway analyses revealed that these DEGs were mainly enriched in extracellular matrix (ECM), ECM organization, structural constituent of muscle, and ECM-receptor interaction. The PPI network of DEGs was established, comprising 428 nodes and 1944 edges. In the co-expression network, pink module was the key module, in which 34 genes with high connectivity were identified. After the intersection of multipart results, 24 common genes were chosen as the candidate genes, among which 7 hub genes (PLAU, SERPINE1, LAMC2, ITGA5, TGFBI, FSCN1, and HLF) were identified using survival analysis. CONCLUSIONS Seven potential biomarkers were identified as being closely related with the initiation and prognosis of OSCC and might serve as potential targets for early diagnosis and personalized therapy of OSCC.",2020-03-09,"Biomarkers, Tumor, Computational Biology, Databases, Genetic, Gene Expression Profiling, Gene Ontology, Gene Regulatory Networks, Humans, Mouth Neoplasms, Prognosis, Protein Interaction Mapping, Protein Interaction Maps, Squamous Cell Carcinoma of Head and Neck, Transcriptome",Med Sci Monit,,Ge
30871556,Prioritization of genes involved in endothelial cell apoptosis by their implication in lymphedema using an analysis of associative gene networks with ANDSystem.,"Currently, more than 150 million people worldwide suffer from lymphedema. It is a chronic progressive disease characterized by high-protein edema of various parts of the body due to defects in lymphatic drainage. Molecular-genetic mechanisms of the disease are still poorly understood. Beginning of a clinical manifestation of primary lymphedema in middle age and the development of secondary lymphedema after treatment of breast cancer can be genetically determined. Disruption of endothelial cell apoptosis can be considered as one of the factors contributing to the development of lymphedema. However, a study of the relationship between genes associated with lymphedema and genes involved in endothelial apoptosis, in the associative gene network was not previously conducted.",2020-05-13,"Animals, Apoptosis, Bone Morphogenetic Protein Receptors, Type II, Chemokine CCL2, Databases, Genetic, Disease Models, Animal, Endothelial Cells, Gene Regulatory Networks, Lymphedema, Mice, Software, Vascular Endothelial Growth Factor Receptor-2",BMC Med Genomics,,Saik
30823586,Identification of Potential Genes Responsible for Thermotolerance in Wheat under High Temperature Stress.,"Wheat, a major worldwide staple food crop, is relatively sensitive to a changing environment, including high temperature. The comprehensive mechanism of heat stress response at the molecular level and exploitation of candidate tolerant genes are far from enough. Using transcriptome data, we analyzed the gene expression profiles of wheat under heat stress. A total of 1705 and 17 commonly differential expressed genes (DEGs) were identified in wheat grain and flag leaf, respectively, through transcriptome analysis. Gene Ontology (GO) and pathway enrichment were also applied to illustrate the functions and metabolic pathways of DEGs involved in thermotolerance of wheat grain and flag leaf. Furthermore, our data suggest that there may be a more complex molecular mechanism or tighter regulatory network in flag leaf than in grain under heat stress over time, as less commonly DEGs, more discrete expression profiles of genes (principle component analysis) and less similar pathway response were observed in flag leaf. In addition, we found that transcriptional regulation of zeatin, brassinosteroid and flavonoid biosynthesis pathways may play an important role in wheat's heat tolerance. The expression changes of some genes were validated using quantitative real-time polymerase chain reaction and three potential genes involved in the flavonoid biosynthesis process were identified.",2019-12-23,"Brassinosteroids, Gene Expression Regulation, Plant, Gene Regulatory Networks, Genes, Plant, Thermotolerance, Transcriptome, Triticum, Zeatin",Genes (Basel),,Su
22561113,Prediction of operon-like gene clusters in the Arabidopsis thaliana genome based on co-expression analysis of neighboring genes.,"Operon-like arrangements of genes occur in eukaryotes ranging from yeasts and filamentous fungi to nematodes, plants, and mammals. In plants, several examples of operon-like gene clusters involved in metabolic pathways have recently been characterized, e.g. the cyclic hydroxamic acid pathways in maize, the avenacin biosynthesis gene clusters in oat, the thalianol pathway in Arabidopsis thaliana, and the diterpenoid momilactone cluster in rice. Such operon-like gene clusters are defined by their co-regulation or neighboring positions within immediate vicinity of chromosomal regions. A comprehensive analysis of the expression of neighboring genes therefore accounts a crucial step to reveal the complete set of operon-like gene clusters within a genome. Genome-wide prediction of operon-like gene clusters should contribute to functional annotation efforts and provide novel insight into evolutionary aspects acquiring certain biological functions as well. We predicted co-expressed gene clusters by comparing the Pearson correlation coefficient of neighboring genes and randomly selected gene pairs, based on a statistical method that takes false discovery rate (FDR) into consideration for 1469 microarray gene expression datasets of A. thaliana. We estimated that A. thaliana contains 100 operon-like gene clusters in total. We predicted 34 statistically significant gene clusters consisting of 3 to 22 genes each, based on a stringent FDR threshold of 0.1. Functional relationships among genes in individual clusters were estimated by sequence similarity and functional annotation of genes. Duplicated gene pairs (determined based on BLAST with a cutoff of E<10(-5)) are included in 27 clusters. Five clusters are associated with metabolism, containing P450 genes restricted to the Brassica family and predicted to be involved in secondary metabolism. Operon-like clusters tend to include genes encoding bio-machinery associated with ribosomes, the ubiquitin/proteasome system, secondary metabolic pathways, lipid and fatty-acid metabolism, and the lipid transfer system.",2012-08-17,"Antigens, Plant, Arabidopsis, Arabidopsis Proteins, Brassica, Carrier Proteins, Cytochrome P-450 Enzyme System, False Positive Reactions, Fatty Acids, Gene Expression Profiling, Gene Expression Regulation, Plant, Genome, Plant, Lipid Metabolism, Metabolic Networks and Pathways, Models, Genetic, Multigene Family, Operon, Plant Proteins, Proteasome Endopeptidase Complex, Ribosomes, Ubiquitin",Gene,10.1016/j.gene.2012.04.043,Wada
29904957,Identification of gene expression profiles and key genes in subchondral bone of osteoarthritis using weighted gene coexpression network analysis.,"Osteoarthritis (OA) significantly influences the quality life of people around the world. It is urgent to find an effective way to understand the genetic etiology of OA. We used weighted gene coexpression network analysis (WGCNA) to explore the key genes involved in the subchondral bone pathological process of OA. Fifty gene expression profiles of GSE51588 were downloaded from the Gene Expression Omnibus database. The OA-associated genes and gene ontologies were acquired from JuniorDoc. Weighted gene coexpression network analysis was used to find disease-related networks based on 21756 gene expression correlation coefficients, hub-genes with the highest connectivity in each module were selected, and the correlation between module eigengene and clinical traits was calculated. The genes in the traits-related gene coexpression modules were subject to functional annotation and pathway enrichment analysis using ClusterProfiler. A total of 73 gene modules were identified, of which, 12 modules were found with high connectivity with clinical traits. Five modules were found with enriched OA-associated genes. Moreover, 310 OA-associated genes were found, and 34 of them were among hub-genes in each module. Consequently, enrichment results indicated some key metabolic pathways, such as extracellular matrix (ECM)-receptor interaction (hsa04512), focal adhesion (hsa04510), the phosphatidylinositol 3'-kinase (PI3K)-Akt signaling pathway (PI3K-AKT) (hsa04151), transforming growth factor beta pathway, and Wnt pathway. We intended to identify some core genes, collagen (COL)6A3, COL6A1, ITGA11, BAMBI, and HCK, which could influence downstream signaling pathways once they were activated. In this study, we identified important genes within key coexpression modules, which associate with a pathological process of subchondral bone in OA. Functional analysis results could provide important information to understand the mechanism of OA.",2019-10-08,"Cluster Analysis, Gene Expression Profiling, Gene Expression Regulation, Gene Ontology, Gene Regulatory Networks, Genetic Predisposition to Disease, Humans, Osteoarthritis",J Cell Biochem,10.1002/jcb.27118,Guo
32200387,Identification of Hub Genes in Hepatocellular Carcinoma Related to Progression and Prognosis by Weighted Gene Co-Expression Network Analysis.,"BACKGROUND Hepatocellular carcinoma (HCC) is one of the most prevalent cancers in the world. Bioinformatics studies have been widely used for screening genes involved in the initiation and progression of HCC. MATERIAL AND METHODS We obtained liver cancer microarray raw data from the GEO database (GSE54238). Next, weighted gene co-expression network analysis (WGCNA) was used to assess the critical modules. Then, we assessed the gene significance by calculating survival, expression level, and receiver operating characteristic (ROC) in the TCGA database. We also validated the expression of selected genes in the Oncomine database and calculated the relationship between 4 hub genes and immune infiltration. Finally, GSEA enrichment analysis was used to explore the potential mechanism. RESULTS We identified the red and blue modules as the critical modules, and found 176 candidate genes by assessing gene significance. GO and KEEG results suggested that the candidate genes are involved in the cell cycle. Four hub genes - SOX4, STK39, TARBP1, and TDRKH - were eventually screened after validating their expression and power in diagnosing HCC in the TCGA database. Immune infiltration analysis and GSEA enrichment analysis showed that these 4 hub genes were correlated with the immune cell populations infiltration and that multiple mechanisms were involved, such as angiogenesis and epithelial-mesenchymal transition. CONCLUSIONS Our findings revealed that these 4 genes can be regarded as potential prognosticators and therapeutic targets for HCC.",2020-03-24,"Biomarkers, Tumor, Carcinoma, Hepatocellular, Computational Biology, Gene Expression Profiling, Gene Expression Regulation, Neoplastic, Gene Regulatory Networks, High-Throughput Nucleotide Sequencing, Humans, Liver Neoplasms, ROC Curve",Med Sci Monit,,Li
24055420,Ossification of the posterior longitudinal ligament related genes identification using microarray gene expression profiling and bioinformatics analysis.,"Ossification of the posterior longitudinal ligament (OPLL) is a kind of disease with physical barriers and neurological disorders. The objective of this study was to explore the differentially expressed genes (DEGs) in OPLL patient ligament cells and identify the target sites for the prevention and treatment of OPLL in clinic. Gene expression data GSE5464 was downloaded from Gene Expression Omnibus; then DEGs were screened by limma package in R language, and changed functions and pathways of OPLL cells compared to normal cells were identified by DAVID (The Database for Annotation, Visualization and Integrated Discovery); finally, an interaction network of DEGs was constructed by string. A total of 1536 DEGs were screened, with 31 down-regulated and 1505 up-regulated genes. Response to wounding function and Toll-like receptor signaling pathway may involve in the development of OPLL. Genes, such as PDGFB, PRDX2 may involve in OPLL through response to wounding function. Toll-like receptor signaling pathway enriched genes such as TLR1, TLR5, and TLR7 may involve in spine cord injury in OPLL. PIK3R1 was the hub gene in the network of DEGs with the highest degree; INSR was one of the most closely related genes of it. OPLL related genes screened by microarray gene expression profiling and bioinformatics analysis may be helpful for elucidating the mechanism of OPLL. ",2014-01-23,"Cluster Analysis, Computational Biology, Gene Expression Profiling, Gene Regulatory Networks, Genetic Association Studies, Humans, Metabolic Networks and Pathways, Microarray Analysis, Ossification of Posterior Longitudinal Ligament",Gene,10.1016/j.gene.2013.09.001,He
30698701,A chromosomal-scale genome assembly of Tectona grandis reveals the importance of tandem gene duplication and enables discovery of genes in natural product biosynthetic pathways.,"Teak, a member of the Lamiaceae family, produces one of the most expensive hardwoods in the world. High demand coupled with deforestation have caused a decrease in natural teak forests, and future supplies will be reliant on teak plantations. Hence, selection of teak tree varieties for clonal propagation with superior growth performance is of great importance, and access to high-quality genetic and genomic resources can accelerate the selection process by identifying genes underlying desired traits.",2019-07-18,"Alkyl and Aryl Transferases, Biological Products, Biosynthetic Pathways, Chromosomes, Plant, Cytochrome P-450 Enzyme System, Gene Duplication, Gene Expression Regulation, Plant, Genes, Plant, Genome, Plant, Lamiaceae, Molecular Sequence Annotation, Phylogeny, Transcriptome",Gigascience,,Zhao
30942461,Identification of suitable reference genes for gene expression studies in rat skeletal muscle following sciatic nerve crush injury.,"Reverse transcription‑quantitative polymerase chain reaction (RT‑qPCR) is a molecular biological method used to assess gene expression characterized by high simplicity, effectiveness, specificity and sensitivity. The selection of a suitable reference gene for normalization is critical for the accuracy of quantitative results. Peripheral nerve injury is a common clinical disorder that affects multiple tissues and organs, including peripheral nerves, neurons and the innervated muscles. Numerous genes are differentially expressed in skeletal muscles during muscle denervation and reinnervation following peripheral nerve injury. The identification of a suitable reference gene in innervated muscles following nerve injury may improve the understanding of the alterations in gene expression in the processes of peripheral nerve repair and regeneration. Therefore, in the present study, by using a rat sciatic nerve crush model, the expression levels of various housekeeping genes were examined. In particular, the expression levels of 13 housekeeping genes, including 18S ribosomal RNA, actin β, ankyrin repeat domain 27, cyclophilin A, GAPDH, hypoxanthine phosphoribosyltransferase 1 (HPRT1), mitochondrial ribosomal protein L10, phosphoglycerate kinase 1, RPTOR independent companion of mammalian target of rapamycin complex 2, TATA‑box binding protein, ubiquitin C, UBX domain protein 11 and tyrosine 3‑monooxygenase/tryptophan 5‑monooxygenase activation protein ζ, were investigated in gastrocnemius muscles. The geNorm and NormFinder analyses suggested that the expression level of HPRT1 was particularly stable in gastrocnemius muscles following rat sciatic nerve crush injury. Therefore, HPRT1 may be used as a reference gene for the normalization of gene expression data generated by RT‑qPCR.",2019-07-30,"Animals, Disease Models, Animal, Female, Gene Expression, Genes, Essential, Hypoxanthine Phosphoribosyltransferase, Muscle, Skeletal, Rats, Rats, Sprague-Dawley, Reference Standards, Sciatic Neuropathy",Mol Med Rep,,Wang
32145327,Expression of the syncytin-1 and syncytin-2 genes in the trophoblastic tissue of the early pregnancy losses with normal and abnormal karyotypes.,"Syncytin-1 and syncytin-2 which are endogenous retroviral genes products play a great role in syncytialization during trophoblast differentiation in normal placental tissues. In aneuploidic placentas due to the low level of pregnancy-induced hormones an alteration was occurred in the syncytialization process, while in the presence of cytogenetically abnormal karyotype the effect of syncytin gene expression levels on syncytialization process and in occured to spontaneous abortions is not clear. To reveal this, we investigated in syncytin-1 and syncytin-2 genes expression levels of chromosomally abnormal and normal trophophoblastic tissues and we also discussed the effect of the syncytin gene expression levels to the occurense of the spontaneous abortion.",2020-04-24,"Abnormal Karyotype, Aborted Fetus, Abortion, Induced, Abortion, Spontaneous, Adult, Cell Differentiation, Female, Gene Expression Regulation, Developmental, Gene Products, env, Humans, Karyotype, Placenta, Pregnancy, Pregnancy Proteins, Trisomy, Trophoblasts, Turner Syndrome, Young Adult",Gene,10.1016/j.gene.2020.144533,Tug
28526948,An innovative strategy to clone positive modifier genes of defects caused by mtDNA mutations: MRPS18C as suppressor gene of m.3946G>A mutation in MT-ND1 gene.,"We have developed a new functional complementation approach to clone modifier genes which overexpression is able to suppress the biochemical defects caused by mtDNA mutations (suppressor genes). This strategy consists in transferring human genes into respiratory chain-deficient fibroblasts, followed by a metabolic selection in a highly selective medium. We used a normalized expression cDNA library in an episomal vector (pREP4) to transfect the fibroblasts, and a medium with glutamine and devoid of any carbohydrate source to select metabolically. Growing the patient's fibroblasts in this selective medium, the deficient cells rapidly disappear unless they are rescued by the cDNA of a suppressor gene. The use of an episomal vector allows us to carry out several rounds of transfection/selection (cyclical phenotypic rescue) to enrich the rescue with true clones of suppressor genes. Using fibroblasts from a patient with epileptic encephalopathy with the m.3946G>A (p.E214K) mutation in the MT-ND1 gene, several candidate genes were identified and one of them was characterized functionally. Thus, overexpression of MRPS18C gene (that encode for bS18m protein) suppressed the molecular defects produced by this mtDNA mutation, recovering the complex I activity and reducing the ROS produced by this complex to normal levels. We suggest that modulation of bS18m expression may be an effective therapeutic strategy for the patients with this mutation.",2017-08-14,"Cells, Cultured, DNA, Mitochondrial, Fibroblasts, Gene Expression Regulation, Gene Library, Genes, Modifier, Genes, Suppressor, Humans, Mitochondrial Proteins, Mutation, NADH Dehydrogenase, RNA, Long Noncoding, Reactive Oxygen Species, Ribosomal Proteins, Sequence Analysis, DNA, Transfection",Hum Genet,,Rodríguez-García
32436837,Determining the Relative Gene Expression Level of Hypoxia Related Genes in Different Cancer Cell Lines.,This study aims to identify the changes in expression of hypoxia-inducible genes in seven different cancer cell lines that vary in their oxygen levels in an attempt to identify hypoxia biomarkers that can be targeted in therapy. Profiling of hypoxia inducible-gene expression of these different cancer cell lines can be used as a baseline data for further studies.,,,Curr Mol Pharmacol,10.2174/1874467213666200521081653,Baqlouq
26744215,Gene Duplicability of Core Genes Is Highly Consistent across All Angiosperms.,"Gene duplication is an important mechanism for adding to genomic novelty. Hence, which genes undergo duplication and are preserved following duplication is an important question. It has been observed that gene duplicability, or the ability of genes to be retained following duplication, is a nonrandom process, with certain genes being more amenable to survive duplication events than others. Primarily, gene essentiality and the type of duplication (small-scale versus large-scale) have been shown in different species to influence the (long-term) survival of novel genes. However, an overarching view of ""gene duplicability"" is lacking, mainly due to the fact that previous studies usually focused on individual species and did not account for the influence of genomic context and the time of duplication. Here, we present a large-scale study in which we investigated duplicate retention for 9178 gene families shared between 37 flowering plant species, referred to as angiosperm core gene families. For most gene families, we observe a strikingly consistent pattern of gene duplicability across species, with gene families being either primarily single-copy or multicopy in all species. An intermediate class contains gene families that are often retained in duplicate for periods extending to tens of millions of years after whole-genome duplication, but ultimately appear to be largely restored to singleton status, suggesting that these genes may be dosage balance sensitive. The distinction between single-copy and multicopy gene families is reflected in their functional annotation, with single-copy genes being mainly involved in the maintenance of genome stability and organelle function and multicopy genes in signaling, transport, and metabolism. The intermediate class was overrepresented in regulatory genes, further suggesting that these represent putative dosage-balance-sensitive genes. ",2017-10-23,"Gene Dosage, Gene Duplication, Genes, Essential, Genome, Plant, Genomics, Magnoliopsida",Plant Cell,,Li
29653150,Validation of reference genes for quantitative gene expression analysis in Ralstonia pseudosolanacearum CQPS-1 under environment stress.,"Quantitative real-time reverse transcriptase PCR (qRT-PCR) has become the method choice for quantification of gene expression changes, however, the accuracy of the method depends on the stability of reference genes. Ralstonia pseudosolanacearum (R. pseudosolanacearum) is an important plant pathogen, infecting >450 plant species and causing bacterial wilt. In order to identify stable reference genes in R. pseudosolanacearum CQPS-1 under different environment stresses. We used five tools (△Ct method, GeNorm, NormFinder, BestKeeper, and RefFinder) to evaluate the stability of seven candidate reference genes including phosphoglycerate kinase (PGK), glyceraldehyde-3-phosphate dehydrogenase (GAPDH), 16S ribosomal RNA (16S), cell division protein ftsZ (ftsZ), DNA gyrase subunit A (gyrA), Ribosomal protein L13 (rplM), and phosphoserine aminotransferase (serC) under biotic (growth phases) and abiotic stress (temperature, hydroxycoumarins, nutrition). Overall, gyrA and serC were the most stable genes under different growth phases, while serC, gyrA and ftsZ during temperature stress, gyrA, ftsZ and 16S under hydroxycoumarins stress, and serC and 16S under nutrition stress conditions. This study provides useful resources for normalizing expression changes of target genes in R. pseudosolanacearum subjected to environment stress.",2019-04-12,"Environmental Exposure, Gene Expression Profiling, Genes, Bacterial, Ralstonia, Real-Time Polymerase Chain Reaction, Reference Standards, Stress, Physiological",J Microbiol Methods,10.1016/j.mimet.2018.04.004,Yang
31775613,Deep gene selection method to select genes from microarray datasets for cancer classification.,"Microarray datasets consist of complex and high-dimensional samples and genes, and generally the number of samples is much smaller than the number of genes. Due to this data imbalance, gene selection is a demanding task for microarray expression data analysis.",2020-02-03,"Algorithms, Gene Expression Profiling, Gene Expression Regulation, Neoplastic, Genetic Techniques, Humans, Microarray Analysis, Neoplasms, Research Design",BMC Bioinformatics,,Alanni
30370873,Screening of reference genes using real-time quantitative PCR for gene expression studies in ,"A stable reference gene is a key prerequisite for accurate assessment of gene expression. At present, the real-time reverse transcriptase quantitative polymerase chain reaction has been widely used in the analysis of gene expression in a variety of organisms. Neoseiulus barkeri Hughes (Acari: Phytoseiidae) is a major predator of mites on many important economically crops. Until now, however, there are no reports evaluating the stability of reference genes in this species. In view of this, we used GeNorm, NormFinder, BestKeeper, and RefFinder software tools to evaluate the expression stability of 11 candidate reference genes in developmental stages and under various abiotic stresses. According to our results, β-ACT and Hsp40 were the top two stable reference genes in developmental stages. The Hsp60 and Hsp90 were the most stable reference genes in various acaricides stress. For alterations in temperature, Hsp40 and α-TUB were the most suitable reference genes. About UV stress, EF1α and α-TUB were the best choice, and for the different prey stress, β-ACT and α-TUB were best suited. In normal conditions, the β-ACT and α-TUB were the two of the highest stable reference genes to respond to all kinds of stresses. The current study provided a valuable foundation for the further analysis of gene expression in N. barkeri.",2019-12-09,"Animals, Female, Gene Expression, Larva, Mites, Nymph, Real-Time Polymerase Chain Reaction, Stress, Physiological",Bull Entomol Res,10.1017/S000748531800072X,Wang
32219041,Identification of key gene modules and hub genes of human mantle cell lymphoma by coexpression network analysis.,"Mantle cell lymphoma (MCL) is a rare and aggressive subtype of non-Hodgkin lymphoma that is incurable with standard therapies. The use of gene expression analysis has been of interest, recently, to detect biomarkers for cancer. There is a great need for systemic coexpression network analysis of MCL and this study aims to establish a gene coexpression network to forecast key genes related to the pathogenesis and prognosis of MCL.",,,PeerJ,,Guo
29072883,Highly interwoven communities of a gene regulatory network unveil topologically important genes for maize seed development.,"The complex interactions between transcription factors (TFs) and their target genes in a spatially and temporally specific manner are crucial to all cellular processes. Reconstruction of gene regulatory networks (GRNs) from gene expression profiles can help to decipher TF-gene regulations in a variety of contexts; however, the inevitable prediction errors of GRNs hinder optimal data mining of RNA-Seq transcriptome profiles. Here we perform an integrative study of Zea mays (maize) seed development in order to identify key genes in a complex developmental process. First, we reverse engineered a GRN from 78 maize seed transcriptome profiles. Then, we studied collective gene interaction patterns and uncovered highly interwoven network communities as the building blocks of the GRN. One community, composed of mostly unknown genes interacting with opaque2, brittle endosperm1 and shrunken2, contributes to seed phenotypes. Another community, composed mostly of genes expressed in the basal endosperm transfer layer, is responsible for nutrient transport. We further integrated our inferred GRN with gene expression patterns in different seed compartments and at various developmental stages and pathways. The integration facilitated a biological interpretation of the GRN. Our yeast one-hybrid assays verified six out of eight TF-promoter bindings in the reconstructed GRN. This study identified topologically important genes in interwoven network communities that may be crucial to maize seed development.",2018-08-01,"Endosperm, Gene Regulatory Networks, Plant Proteins, Promoter Regions, Genetic, Seeds, Transcription Factors, Transcriptome, Zea mays",Plant J,10.1111/tpj.13750,Xiong
30704472,Comparison of different functional prediction scores using a gene-based permutation model for identifying cancer driver genes.,"Identifying cancer driver genes (CDG) is a crucial step in cancer genomic toward the advancement of precision medicine. However, driver gene discovery is a very challenging task because we are not only dealing with huge amount of data; but we are also faced with the complexity of the disease including the heterogeneity of background somatic mutation rate in each cancer patient. It is generally accepted that CDG harbor variants conferring growth advantage in the malignant cell and they are positively selected, which are critical to cancer development; whereas, non-driver genes harbor random mutations with no functional consequence on cancer. Based on this fact, function prediction based approaches for identifying CDG have been proposed to interrogate the distribution of functional predictions among mutations in cancer genomes (eLS 1-16, 2016). Assuming most of the observed mutations are passenger mutations and given the quantitative predictions for the functional impact of the mutations, genes enriched of functional or deleterious mutations are more likely to be drivers. The promises of these methods have been continually refined and can therefore be applied to increase accuracy in detecting new candidate CDGs. However, current function prediction based approaches only focus on coding mutations and lack a systematic way to pick the best mutation deleteriousness prediction algorithms for usage.",2020-05-11,"Genes, Neoplasm, Genomics, Humans, Models, Genetic",BMC Med Genomics,,Nono
