author,abstract
Yuan,"Breast cancer (BC) is one of the most common malignancies that could threaten female health. As the molecular mechanism of BC has not yet been completely discovered, identification of related genes of this disease is an important area of research that could provide new insights into gene function as well as potential treatment targets. Here we used subnetwork extraction algorithms to identify novel BC related genes based on the known BC genes (seed genes), gene co-expression profiles and protein-protein interaction network. We computationally predicted seven key genes (EPHX2, GHRH, PPYR1, ALPP, KNG1, GSK3A and TRIT1) as putative genes of BC. Further analysis shows that six of these have been reported as breast cancer associated genes, and one (PPYR1) as cancer associated gene. Lastly, we developed an expression signature using these seven key genes which significantly stratified 1660 BC patients according to relapse free survival (hazard ratio [HR], 0.55; 95% confidence interval [CI], 0.46-0.65; Logrank p = 5.5e-13). The 7-genes signature could be established as a useful predictor of disease prognosis in BC patients. Overall, the identified seven genes might be useful prognostic and predictive molecular markers to predict the clinical outcome of BC patients."
Yuan,"To identify the pathogenic genes in pterygium."
Yu,"Colorectal cancer (CRC) is the third leading cause of death in the world. However, the key roles of most molecules in CRC remain unclear. This study aimed to identify key modules and hub genes associated with the progression of CRC. The data of the patients with CRC were obtained from the Gene Expression Omnibus (GEO) database and assessed by weighted gene co-expression network analysis (WGCNA), Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses performed in R. by WGCNA, several hub genes that regulate the mechanism of tumorigenesis in CRC were identified, which were associated with clinical traits. Next, we screened hub genes related to the progression of CRC authenticated by The Cancer Genome Atlas (TCGA) and Oncomine databases. Three hub genes (HCLS1, EVI2B, and CD48) were identified, and survival analysis was further performed. Moreover, the results of qPCR and immunohistochemistry staining revealed that HCLS1, EVI2B, and CD48 are tumor suppressor genes. Further, the functional study verified that over-expression of HCLS1, EVI2B, and CD48 can reduce the proliferation, migration, and invasion ability of CRC cells and significantly suppress CRC tumor growth "
Yu,"Increasing the content of oleic acid in peanut seeds is one of the major goals in peanut breeding due to consumer and industry benefits, such as anti-oxidation and long shelf-life. Homeologous ahFAD2A and ahFAD2B genes encode fatty acid desaturases, which are the key enzymes for converting oleic acid to linoleic acid that oxidizes readily. To date, all high oleic acid peanut varieties result from natural mutations occurred in both genes. A method to induce mutations in the genes of other elite cultivars could speed introgression of this valuable trait. The gene-editing approach utilizing CRISPR/Cas9 technology was employed to induce de novo mutations in the ahFAD2 genes using peanut protoplasts and hairy root cultures as models."
Yu,"This study aims to explore the relationship between gene polymorphism and breast cancer, and to screen DEGs (differentially expressed genes) with SNPs (single nucleotide polymorphisms) related to breast cancer. The SNPs of 17 patients and the preprocessed SNP profiling GSE 32258 (38 cases of normal breast cells) were combined to identify their correlation with breast cancer using chi-square test. The gene expression profiling batch8_9 (38 cases of patients and 8 cases of normal tissue) was preprocessed with limma package, and the DEGs were filtered out. Then fisher's method was applied to integrate DEGs and SNPs associated with breast cancer. With NetBox software, TRED (Transcriptional Regulatory Element Database) and UCSC (University of California Santa Cruz) database, genes-associated network and transcriptional regulatory network were constructed using cytoscape software. Further, GO (Gene Ontology) and KEGG analyses were performed for genes in the networks by using siggenes. In total, 332 DEGs were identified. There were 160 breast cancer-related SNPs related to 106 genes of gene expression profiling (19 were significant DEGs). Finally, 11co-correlated DEGs were selected. In genes-associated network, 9 significant DEGs were correlated to 23 LINKER genes while, in transcriptional regulatory network, E2F1 had regulatory relationships with 7 DEGs including MTUS1, CD44, CCNB1 and CCND2. KRAS with SNP locus of rs1137282 was involved in 35 KEGG pathways. The genes of MTUS1, CD44, CCNB1, CCND2 and KRAS with specific SNP loci may be used as biomarkers for diagnosis of breast cancer. Besides, E2F1 was recognized as the transcription factor of 7 DEGs including MTUS1, CD44, CCNB1 and CCND2. "
Yu,"Major latex protein/ripening-related proteins (MLP/RRP) subfamily are a class of proteins that play crucial roles in response to defense and stress response. However, their biological function is still not clear, the identification and characterization will provide essential information for understanding their roles. Here, we carried out a genome-wide evolutionary characteristics and gene expression analysis of the MLP family in apple (Malus domestica, Borkh.). A total of 36 MdMLP genes were screened in apple genome. They were uneven located on 5 chromosomes, where were mainly arranged in tandem clusters, and the phylogenetic analysis put forward further views on the evolutionary relationship and putative functions among the genes. The conserved motifs showed that the MLP proteins which contained motif 1 had the potential function, and tissue-specific expression analysis showed that apple MLP members had diverse biological roles. Furthermore, the results showed seven of the MdMLPs that harbored cis-acting regulatory elements in response to defense and stress, and our expression data proved that they were involved in biotic stresses. The present study provides new views to the evolution and regulation of MdMLP genes, which represent objectives of future research and incorporate in resistance-related molecular breeding projects."
Yu,"In recent years, dozens of Arabidopsis and rice CCCH-type zinc finger genes have been functionally studied, many of which confer important traits, such as abiotic and biotic stress tolerance, delayed leaf senescence and improved plant architecture. Switchgrass (Panicum virgatum) is an important bioenergy crop. Identification of agronomically important genes and/or loci is an important step for switchgrass molecular breeding. Annotating switchgrass CCCH genes using translational genomics methods will help further the goal of understanding switchgrass genetics and creating improved varieties."
You,"The salinization and alkalization of soil are widespread environmental problems, and alkaline salt stress is more destructive than neutral salt stress. Therefore, understanding the mechanism of plant tolerance to saline-alkaline stress has become a major challenge. However, little attention has been paid to the mechanism of plant alkaline salt tolerance. In this study, gene expression profiling of flax was analyzed under alkaline-salt stress (AS2), neutral salt stress (NSS) and alkaline stress (AS) by digital gene expression. Three-week-old flax seedlings were placed in 25 mM Na2CO3 (pH11.6) (AS2), 50mM NaCl (NSS) and NaOH (pH11.6) (AS) for 18 h. There were 7736, 1566 and 454 differentially expressed genes in AS2, NSS and AS compared to CK, respectively. The GO category gene enrichment analysis revealed that photosynthesis was particularly affected in AS2, carbohydrate metabolism was particularly affected in NSS, and the response to biotic stimulus was particularly affected in AS. We also analyzed the expression pattern of five categories of genes including transcription factors, signaling transduction proteins, phytohormones, reactive oxygen species proteins and transporters under these three stresses. Some key regulatory gene families involved in abiotic stress, such as WRKY, MAPKKK, ABA, PrxR and ion channels, were differentially expressed. Compared with NSS and AS, AS2 triggered more differentially expressed genes and special pathways, indicating that the mechanism of AS2 was more complex than NSS and AS. To the best of our knowledge, this was the first transcriptome analysis of flax in response to saline-alkaline stress. These data indicate that common and diverse features of saline-alkaline stress provide novel insights into the molecular mechanisms of plant saline-alkaline tolerance and offer a number of candidate genes as potential markers of tolerance to saline-alkaline stress."
You,"Gene expression analysis is one of the most common and important studies in biology and biomedicine. No matter for traditional blotting analysis or currently commonly used PCR strategy, all need a stable reference gene for normalizing the gene expression. To screen and select housekeeping genes as the most stable reference genes, quantitative real-time PCR (qRT-PCR) was employed to analyze the expression of sixteen commonly used reference genes (IbelF, Ibα-tubulin, IbHIS, IbCOX, IbGAPDH, IbH2B1, IbARF, IbCYC, Ibβ-tubulin, IbACT, IbEFl-a, IbG14, IbPLD, IbRPL2, IbUBQ, IbUBI) in five different tissues under two different temperature stresses in sweet potato. Data analysis by the Delta CT, geNorm, NormFinder, and BestKeeper programs revealed that IbelF is the most stable gene and IbUBI is the least stable gene as reference. Our study also shows that combination of two or more genes as reference is a better choice, rendering more substantiated expression data for comparison. This study provides evidence for selecting reference genes in sweet potato gene expression analysis."
You,"Soybeans are an important cash crop and are widely used as a source of vegetable protein and edible oil. MicroRNAs (miRNA) are endogenous small RNA that play an important regulatory role in the evolutionarily conserved system of gene expression. In this study, we selected four lines with extreme phenotypes, as well as high or low protein and oil content, from the chromosome segment substitution line (CSSL) constructed from suinong (SN14) and ZYD00006, and planted and sampled at three stages of grain development for small RNA sequencing and expression analysis. The sequencing results revealed the expression pattern of miRNA in the materials, and predicted miRNA-targeted regulatory genes, including 1967 pairs of corresponding relationships between known-miRNA and their target genes, as well as 597 pairs of corresponding relationships between novel-miRNA and their target genes. After screening and annotating genes that were targeted for regulation, five specific genes were identified to be differentially expressed during seed development and subsequently analyzed for their regulatory relationship with miRNAs. The expression pattern of the targeted gene was verified by Real-time Quantitative PCR (RT-qPCR). Our research provides more information about the miRNA regulatory network in soybeans and further identifies useful genes that regulate storage during soy grain development, providing a theoretical basis for the regulation of soybean quality traits."
You,"The important roles of duplicated genes in evolutional process have been recognized in bacteria, archaebacteria and eukaryotes, while there is very little study on the multi-copied protein coding genes that share sequence identity of 100%. In this paper, the multi-copied protein coding genes in a number of prokaryotic genomes are comprehensively analyzed firstly. The results show that 0-15.93% of the protein coding genes in each genome are multi-copied genes and 0-16.49% of the protein coding genes in each genome are highly similar with the sequence identity ≥ 80%. Function and COG (Clusters of Orthologous Groups of proteins) analysis shows that 64.64% of multi-copied genes concentrate on the function of transposase and 86.28% of the COG assigned multi-copied genes concentrate on the COG code of 'L'. Furthermore, the impact of redundant protein coding sequences on the gene prediction results is studied. The results show that the problem of protein coding sequence redundancies cannot be ignored and the consistency of the gene annotation results before and after excluding the redundant sequences is negatively related with the sequences redundancy degree of the protein coding sequences in the training set."
You,"Quantitative real-time PCR (qPCR) is commonly used for deciphering gene functions. For effective qPCR analyses, suitable reference genes are needed for normalization. The objective of this study is to identify the appropriate reference gene(s) for qPCR analyses of the leaves and roots of ramie (Boehmeria nivea L.), an important natural fiber crop. To accomplish this goal, we investigated the expression patterns of eight common plant qPCR reference genes in ramie leaves and roots under five abiotic stresses, five hormonal treatments, and one biotic stress. The relative expression stabilities of the eight genes were evaluated using four common but different approaches: geNorm, NormFinder, BestKeeper, and RefFinder. Across the 11 tested conditions, ACT1 was the most stably expressed among the eight genes while GAPDH displayed the biggest variation. Overall, while variations in the suggested reference genes were found for different tissue x treatment combinations, our analyses revealed that together, genes ACT1, CYP2, and UBQ can provide robust references for gene expression studies of ramie leaves under most conditions, while genes EF-1α, TUB, and ACT1 can be used for similar studies of ramie roots. Our results should help future functional studies of the genes in ramie genome across tissues and environmental conditions."
You,"Salt is the major factor limiting crop productivity in saline soils and is controlled by various genes. The development of salt-tolerant rice through molecular breeding methods is important to meet the needs of rice breeding. We used 295 accessions to perform a genome-wide association study (GWAS) of salt tolerance-related phenotypes in rice at the seedling stage and obtained 93 candidate genes with high association peaks across six phenotypes. We constructed a protein interaction network using the candidate genes identified here, and 33 genes were associated. Based on the expression patterns, we found that most of these genes showed a different expression level under control and salt stress conditions. In addition, haplotype network and sequence analysis of one 'key' gene, a transcription factor (Os12g0176700) encoding a SWIRM domain-containing protein, in the interaction network was investigated to explore its possible role in the network. Our study revealed candidate salt tolerance-related genes in rice at the seedling stage, and demonstrated the feasibility of using GWAS to identify genetic architecture underlying salt tolerance. The data generated here may provide resources for molecular breeding and functional analysis of salt tolerance in rice seedlings."
You,"The young leaves generally accumulate a certain concentration anthocyanins in the dominant species of the subtropical forest, and the changes of anthocyanin synthesis-related enzyme genes expression levels had an important effect on the study photoprotection of anthocyanins in the young leaves of subtropical forests. The determination of anthocyanin synthesis-related enzyme gene sequences and the selection of appropriate reference genes provide a basis for analyzing the functional properties of anthocyanins. In this study, four dominant subtropical forest species (i.e., Schima superba, Castanopsis fissa, Acmena acuminatissima, Cryptocarya concinna) were taken as materials. To obtain the correct nucleotide sequences of anthocyanin-related enzymes, the nucleotide sequences of CHS, DFR and ANS in each dominant species were obtained by sequencing and comparison. Then, to select the most stable reference genes for leaves at different developmental stages and different light conditions, the expression levels of six reference genes, including 18S, Actin, GAPDH, TUB, EF1 and UBQ, were studied by real-time fluorescent quantitative PCR (qRT-PCR), and reference gene stability was analyzed by GeNorm and NormFinder software. The results showed that the expression level of Actin was the most stable in S. superba, A. acuminatissima and C. concinna, and the expression level of GAPDH was the most stable in C. fissa. Finally, the expression levels of the anthocyanin synthesis genes CHS, DFR and ANS were analyzed and found to be consistent with the accumulation trend of anthocyanins in leaves. This study has important theoretical and practical significance for future research into the expression of anthocyanin synthesis-related enzyme genes in the dominant tree species in subtropical forests and reveals that anthocyanin has a photoprotective effect for young leaves in high-light environments."
You,"Root lesion disease, caused by Pratylenchus coffeae, seriously impairs the growth and yield of ramie, an important natural fiber crop. The ramie defense mechanism against P. coffeae infection is poorly understood, which hinders efforts to improve resistance via breeding programs. In this study, the transcriptome of the resistant ramie cultivar Qingdaye was characterized using Illumina sequence technology. About 46.3 million clean pair end (PE) reads were generated and assembled into 40,826 unigenes with a mean length of 830 bp. Digital gene expression (DGE) analysis was performed on both the control roots (CK) and P. coffeae-challenged roots (CH), and the differentially expressed genes (DEGs) were identified. Approximately 10.16 and 8.07 million cDNA reads in the CK and CH cDNA libraries were sequenced, respectively. A total of 137 genes exhibited different transcript abundances between the two libraries. Among them, the expressions of 117 and 20 DEGs were up- and down-regulated in P. coffeae-challenged ramie, respectively. The expression patterns of 15 candidate genes determined by qRT-PCR confirmed the results of DGE analysis. Time-course expression profiles of eight defense-related genes in susceptible and resistant ramie cultivars were different after P. coffeae inoculation. The differential expression of protease inhibitors, pathogenesis-related proteins (PRs), and transcription factors in resistant and susceptible ramie during P. coffeae infection indicated that cystatin likely plays an important role in nematode resistance."
Yin,"Down syndrome is one of the most common chromosomal disorders and yet our understanding about the dysregulated genes in this disease is limited. Through this case study, we investigated the gene expression profile of primary amniotic fluid mesenchymal stem cells (AFMSCs) isolated from the amniotic sac of monozygotic twins discordant for trisomy 21 with one fetal hydrops at 17 weeks of gestation. AFMSCs were cultured to analyze the gene expression profiles for the human transcriptome array. Gene ontology was used to evaluate dysregulated gene functions. Total 25,799 genes were identified such that 65 were up-regulated (0.25%) and 111 were down-regulated (0.43%) with a log"
Yin,"Gene expression analysis provides important clues regarding gene functions, and quantitative real-time PCR (qRT-PCR) is a widely used method in gene expression studies. Reference genes are essential for normalizing and accurately assessing gene expression. In the present study, 16 candidate reference genes (ACTB, CyPA, EF1-α, GAPDH, HSP90, NDPk, RPL13a, RPL18, RPL19, RPL32, RPL4, RPL8, RPS13, RPS4, α-TUB, and β-TUB) from Plutella xylostella were selected to evaluate gene expression stability across different experimental conditions using five statistical algorithms (geNorm, NormFinder, Delta Ct, BestKeeper, and RefFinder). The results suggest that different reference genes or combinations of reference genes are suitable for normalization in gene expression studies of P. xylostella according to the different developmental stages, strains, tissues, and insecticide treatments. Based on the given experimental sets, the most stable reference genes were RPS4 across different developmental stages, RPL8 across different strains and tissues, and EF1-α across different insecticide treatments. A comprehensive and systematic assessment of potential reference genes for gene expression normalization is essential for post-genomic functional research in P. xylostella, a notorious pest with worldwide distribution and a high capacity to adapt and develop resistance to insecticides."
Yi,"Tongue squamous cell carcinoma (TSCC) is one of the most common malignant tumors in head and neck, but its molecular mechanism is not clear."
Yi,"Selection on synonymous codon usage for translation efficiency and/or accuracy has been identified as a widespread mechanism in many living organisms. However, it remains unknown whether translational selection associates closely with gene age and acts differentially on genes with different evolutionary ages. To address this issue, here we investigate the strength of translational selection acting on different aged genes in human. Our results show that old genes present stronger translational selection than young genes, demonstrating that translational selection correlates positively with gene age. We further explore the difference of translational selection in duplicates vs. singletons and in housekeeping vs. tissue-specific genes. We find that translational selection acts comparably in old singletons and old duplicates and stronger translational selection in old genes is contributed primarily by housekeeping genes. For young genes, contrastingly, singletons experience stronger translational selection than duplicates, presumably due to redundant function of duplicated genes during their early evolutionary stage. Taken together, our results indicate that translational selection acting on a gene would not be constant during all stages of evolution, associating closely with gene age. "
Yi,"The antioxidant defense system protects DNA from the damaging effects of oxidative stress and is hypothesized to be associated with an increased risk of male infertility. Polymorphisms in antioxidant genes and the gene-gene interactions associated with the antioxidant system may increase the potential risk of male infertility. In the present case-controlled study, the individual link between seven gene polymorphisms ("
Yi,"Rubisco activase (RCA) catalyzes the activation of Rubisco in vivo and plays a crucial role in regulating plant growth. In maize (Zea mays), only β-form RCA genes have been cloned and characterized. In this study, a genome-wide survey revealed the presence of an α-form RCA gene and a β-form RCA gene in the maize genome, herein referred to as ZmRCAα and ZmRCAβ, respectively. An analysis of genomic DNA and complementary DNA sequences suggested that alternative splicing of the ZmRCAβ precursor mRNA (premRNA) at its 3' untranslated region could produce two distinctive ZmRCAβ transcripts. Analyses by electrophoresis and matrix-assisted laser desorption/ionization-tandem time-of-flight mass spectrometry showed that ZmRCAα and ZmRCAβ encode larger and smaller polypeptides of approximately 46 and 43 kD, respectively. Transcriptional analyses demonstrated that the expression levels of both ZmRCAα and ZmRCAβ were higher in leaves and during grain filling and that expression followed a specific cyclic day/night pattern. In 123 maize inbred lines with extensive genetic diversity, the transcript abundance and protein expression levels of these two RCA genes were positively correlated with grain yield. Additionally, both genes demonstrated a similar correlation with grain yield compared with three C₄ photosynthesis genes. Our data suggest that, in addition to the β-form RCA-encoding gene, the α-form RCA-encoding gene also contributes to the synthesis of RCA in maize and support the hypothesis that RCA genes may play an important role in determining maize productivity."
Yi,"Valsa mali var. mali (Vmm), is the predominant species of apple valsa canker in China. Modern analysis of genes involved in virulence or pathogenicity usually implicate gene expression analysis most often performed using real-time quantitative polymerase chain reaction (RT-qPCR). However, for relative gene expression analysis pertinent reference genes have to be validated before using them as internal reference. This has not been reported for Vmm, so far. Therefore, eight commonly used housekeeping genes (ACT, CYP, EF1-α, G6PDH, GAPDH, L13, TUB, and UBQ) were cloned and evaluated for their expression stability by geNorm and NormFinder. Overall, all of the candidate reference genes were found to be suitable for gene expression analysis. After analysis of 10 samples from different strains and abiotic stress treatments, G6PDH appeared to be the most suitable reference gene, whereas GAPDH was the least suitable. Moreover, taking G6PDH combined with L13 or CYP as reference genes, improved the reliability of RT-qPCR significantly. The influence of the reference system on expression data was demonstrated by analyzing Vmmpg-1 encoding an endo-polygalacturonase gene. Pectinases are considered key pathogenicity factors for this fungus. In order to better understand the role of pectinases in pathogenicity of Vmm, RT-qPCR was used for expression analysis. Our results may provide a guideline for future studies on gene expression of V. mali var. mali by using RT-qPCR. "
Yer,"Lung adenocarcinoma is the most frequently diagnosed subtype of nonsmall cell lung cancer. The molecular mechanisms of the initiation and progression of lung adenocarcinoma remain to be further determined. This study aimed to screen genes related to the progression of lung adenocarcinoma. By weighted gene coexpression network analysis (WGCNA), we constructed a free-scale gene coexpression network to evaluate the correlations between multiple gene sets and patients' clinical traits, then further identify predictive biomarkers. GSE11969 was obtained from the Gene Expression Omnibus (GEO) database which contained the gene expression data of 90 lung adenocarcinoma patients. Data of the Cancer Genome Atlas (TCGA) were employed as the validation cohort. After the average linkage hierarchical clustering, a total of 9 modules were generated. In the clinical significant module ("
Yer,"Watermelon (Citrullus lanatus) is one of the major cucurbit crop that cultivated all over the world. Adaptability and flowering time are important agronomic characteristics that influence the quality and yield of watermelon, however, the molecular basis underlying these traits were still unclear. In this study, we identified 166, 182, 178, and 279 flowering genes in watermelon, melon, cucumber and pumpkin, respectively, and found that a lot of genes in the photoperiodic, autonomous, and vernalization pathways were absence in the four cucurbits. A higher ratio of flowering time genes was identified in the hormone pathway in cucurbits than in Arabidopsis, and a higher average ka/ks value of hormone pathway genes than the photoperiodic and vernalization pathway genes was identified in watermelon. Moreover, a gene ClGA2/KS (Cla005482) were found to associated with ecotype differentiation, flowering time, and whole growth period in watermelon. This study added knowledge to the molecular basis of flowering time regulation in cucurbits, and the molecule marker of ClGA2/KS gene may facilitate the breeding progress for selecting watermelon varieties with superior adaption and flowering time."
Yer,"In this study, antibiotic resistance to macrolide-lincosamide-streptogramin B (MLS"
Yao,"The present study aimed to identify the key genes that are associated with the progression of intrahepatic cholangiocarcinoma through weighted gene co-expression network analysis (WGCNA). A total of three gene datasets were downloaded from the Gene Expression Omnibus database, including GSE107943, GSE119336 and GSE26566. Differentially expressed genes (DEGs) between intrahepatic cholangiocarcinoma tissues and adjacent liver tissues were identified using GSE107943, while tissue specific genes between bile duct and liver tissues were identified using GSE26566. Following the removal of tissue-specific genes, real DEGs were used to construct the WGCNA to investigate the association between gene modules and clinical traits. Following functional analysis, pathway enrichment analysis and the construction of a protein-protein interaction (PPI) network were performed, hub genes were selected and their diagnostic value was verified in GSE119336 using a receiver operating characteristic curve. Finally, the protein levels of the hub genes were also verified in intrahepatic cholangiocarcinoma tissues. A total of 1,643 real DEGs were identified and used to construct the WGCNA. Additionally, a total of seven co-expressed gene modules were identified following WGCNA, while genes in brown and yellow modules were identified to be associated with multiple clinical traits (the number of clinical traits >3) and used as key modules. A total of 63 core key module genes were subsequently identified, and it was indicated that these genes were most enriched in the nucleus (Gene Ontology term) and the cell cycle pathway (Kyoto Encyclopedia of Genes and Genomes term). Finally, a total of eight genes, including cyclin B1, cell division cycle 20, cell division cycle associated 8, cyclin dependent kinase 1, centrosomal protein 55, kinesin family member 2C, DNA topoisomerase IIα and TPX2 microtubule nucleation factor, exhibited the highest score in PPI analysis and had a high diagnostic value for intrahepatic cholangiocarcinoma. In addition, the protein levels of these genes were also revealed to be increased in most intrahepatic cholangiocarcinoma tissues. These eight genes may be used as novel biomarkers for the diagnosis of intrahepatic cholangiocarcinoma."
Yao,"Strabismus refers to the misalignment of the eyes and occurs in 2-4% of individuals. The low-resolution label ""strabismus"" covers a range of heterogeneous defects, which makes it challenging to unravel this condition. Consequently a coherent understanding of the causes is lacking. Here, we attempt to gain a better understanding of the underlying genetics by combining gene curation, diverse bioinformatic analyses (including gene ontology, pathway mapping, expression and network-based methods) and literature review. Through a phenotype-based curation process, we identify high-confidence and permissive sets of 54 and 233 genes potentially involved in strabismus. These genes can be grouped into 10 modules that together span a heterogeneous set of biological and molecular functions, and can be linked to clinical sub-phenotypes. Multiple lines of evidence associate retina and cerebellum biology with the strabismus genes. We further highlight a potential role of the Ras-MAPK pathway. Independently, sets of 11 genes and 15 loci tied to strabismus with definitive genetic basis have been compiled from the literature. We identify strabismus candidate genes for 5 of the 15 reported loci (CHD7; SLC9A6; COL18A1, COL6A2; FRY, BRCA2, SPG20; PARK2). Finally, we synthesize a Strabismus Candidate Gene Collection, which together with our curated gene sets will serve as a resource for future research. The results of this informatics study support the heterogeneity and complexity of strabismus and point to specific biological pathways and brain regions for future focus."
Yao,"Improving wood growth rate and wood quality are worthy goals in forest genetics and breeding research. The ARK1 gene is one member of the ARBORKNOX family in all plants, which play an essential role in the process of plant growth and development, but the mechanism associated with its gene network regulation is poorly investigated. In order to generate over-expression transgenic hybrid poplar, the agrobacterium-mediated transformation was used to obtain transgenic hybrid poplar '717' plants to provide insight into the function of the ARK1 gene in poplar. Moreover, the morphology of transgenic plants was observed, and transcriptome analysis was performed to explore the ARK1 gene function. The results showed that there were significant differences in pitch, stem diameter, petiole length, leaf width, leaf length and seedling height between ARK1 transgenic seedlings and non-transgenic seedlings. The transgenic seedlings usually had multiple branches and slender leaves, with some leaves not being fully developed. The results of transcriptome analysis showed that the differentially expressed genes were involved in the growth of poplars, including proteins, transcription factors and protein kinases. Genes related to the positive regulation in plant hormone signal transduction pathways were up-regulated, and the genes related to lignin synthesis were down-regulated. The RT-qPCR analysis confirmed the expression levels of the genes involved in the plant hormone signal transduction pathways and phenylpropanoid pathway. In conclusion, the ARK1 gene had a positive regulatory effect on plant growth, and the gene's coding enzymes related to lignin synthesis were down-regulated."
Yang,"WRKY transcription factors (TFs), one of the ten largest TF families in higher plants, play important roles in regulating plant development and resistance. To date, little is known about the WRKY TF family in Brassica oleracea. Recently, the completed genome sequence of cabbage (B. oleracea var. capitata) allows us to systematically analyze WRKY genes in this species. A total of 148 WRKY genes were characterized and classified into seven subgroups that belong to three major groups. Phylogenetic and synteny analyses revealed that the repertoire of cabbage WRKY genes was derived from a common ancestor shared with Arabidopsis thaliana. The B. oleracea WRKY genes were found to be preferentially retained after the whole-genome triplication (WGT) event in its recent ancestor, suggesting that the WGT event had largely contributed to a rapid expansion of the WRKY gene family in B. oleracea. The analysis of RNA-Seq data from various tissues (i.e., roots, stems, leaves, buds, flowers and siliques) revealed that most of the identified WRKY genes were positively expressed in cabbage, and a large portion of them exhibited patterns of differential and tissue-specific expression, demonstrating that these gene members might play essential roles in plant developmental processes. Comparative analysis of the expression level among duplicated genes showed that gene expression divergence was evidently presented among cabbage WRKY paralogs, indicating functional divergence of these duplicated WRKY genes. "
Yan,"Skin cutaneous melanoma (SCM) is a common malignant tumor of the skin and its pathogenesis still needs to be studied. In this work, we constructed a co-expression network and screened for hub genes by weighted gene co-expression network analysis (WGCNA) using the GSE98394 dataset. The relationship between the mRNA expression of hub genes and the prognosis of patients with melanoma was validated by Gene Expression Profiling Interactive Analysis (GEPIA) database. Furthermore, immunohistochemistry in the Human Protein Atlas was used to validate hub genes and grayscale analysis was performed using ImageJ software. It was found that the yellow module was most significantly associated with the difference between common nevus and SCM, and 13 genes whose expression correlation >0.9 were candidate hub genes. The expression of three genes ("
Yan,"The problem of bacterial resistance has become an important issue in the area of global ecological safety and human health. Waste sludge is an important reservoir and discharge source for antibiotic resistance genes (ARGs). In this study, the quantities of seven tetracycline resistance genes (TC-ARGs), including "
Yan,"Quantitative real-time reverse-transcriptase polymerase chain reaction (RT-qPCR) has been used frequently to study gene expression related to fish immunology. In such studies, a stable reference gene should be selected to correct the expression of the target gene. In this study, seven candidate reference genes (glyceraldehyde-3-phosphate dehydrogenase (GADPH), ubiquitin-conjugating enzyme (UBCE), 18S ribosomal RNA (18S rRNA), beta-2-microglobulin (B2M), elongation factor 1 alpha (EF1A), tubulin alpha chain-like (TUBA) and beta actin (ACTB)), were selected to analyze their stability and normalization in seven tissues (liver, spleen, kidney, brain, heart, muscle and intestine) of Nile tilapia (Oreochromis niloticus) challenged with Streptococcus agalactiae or Streptococcus iniae, respectively. The results showed that all the candidate reference genes exhibited tissue-dependent transcriptional variations. With PBS injection as a control, UBCE was the most stable and suitable single reference gene in the intestine, liver, brain, kidney, and spleen after S. iniae infection, and in the liver, kidney, and spleen after S. agalactiae infection. EF1A was the most suitable in heart and muscle after S. iniae or S. agalactiae infection. GADPH was the most suitable gene in intestine and brain after S. agalactiae infection. In normal conditions, UBCE and 18S rRNA were the most stably expressed genes across the various tissues. These results showed that for RT-qPCR analysis of tilapia, selecting two or more reference genes may be more suitable for cross-tissue analysis of gene expression. "
Yan,"Quantitative real-time reverse transcriptase PCR (qRT-PCR) has become the method choice for quantification of gene expression changes, however, the accuracy of the method depends on the stability of reference genes. Ralstonia pseudosolanacearum (R. pseudosolanacearum) is an important plant pathogen, infecting >450 plant species and causing bacterial wilt. In order to identify stable reference genes in R. pseudosolanacearum CQPS-1 under different environment stresses. We used five tools (△Ct method, GeNorm, NormFinder, BestKeeper, and RefFinder) to evaluate the stability of seven candidate reference genes including phosphoglycerate kinase (PGK), glyceraldehyde-3-phosphate dehydrogenase (GAPDH), 16S ribosomal RNA (16S), cell division protein ftsZ (ftsZ), DNA gyrase subunit A (gyrA), Ribosomal protein L13 (rplM), and phosphoserine aminotransferase (serC) under biotic (growth phases) and abiotic stress (temperature, hydroxycoumarins, nutrition). Overall, gyrA and serC were the most stable genes under different growth phases, while serC, gyrA and ftsZ during temperature stress, gyrA, ftsZ and 16S under hydroxycoumarins stress, and serC and 16S under nutrition stress conditions. This study provides useful resources for normalizing expression changes of target genes in R. pseudosolanacearum subjected to environment stress."
